id,name,full_name,aliases,release_year,category_code,category,anatomy_primary,anatomy_target,modality_type,dimension,temporal,representation,scale,annotation_types,tasks,split_summary,access_level,license,paper_title,paper_venue,paper_doi,data_repository,data_url,data_doi,data_version,family_type,family_parent,family_related,verification_status,verification_date,notes
0302,EchoNet-Dynamic,EchoNet-Dynamic,,2020,03,Cardiac,Heart,Left ventricle | Apical four-chamber view,B-mode,2D,cine,video,subject=10030 | video=10030,segmentation | measurements,segmentation | measurement,,application,Stanford Research Use Agreement,Video-based AI for beat-to-beat assessment of cardiac function,Nature,10.1038/s41586-020-2145-8,Stanford AIMI,https://echonet.github.io/dynamic/,10.71718/qd7p-4h31,,primary,,,verified,2026-09-02,"EchoNet-Dynamic contains 10,030 apical four-chamber echocardiography videos from 10,030 individuals. Cardiac-cycle analysis is a downstream use of the cine data, whereas the native released supervision is represented here by left-ventricular tracings and cardiac-function measurements."
0303,EchoCP,EchoCP,,2021,03,Cardiac,Heart,Patent foramen ovale | Cardiac chambers,B-mode | CEUS,2D,cine,video,patient=30 | video=60,classification | grading | segmentation,classification | grading | segmentation,,open,Apache 2.0,EchoCP: An Echocardiography Dataset in Contrast Transthoracic Echocardiography for Patent Foramen Ovale Diagnosis,arXiv,10.48550/arXiv.2105.08267,Kaggle,https://www.kaggle.com/datasets/xiaoweixumedicalai/echocp,,,primary,,,verified,2026-09-02,"EchoCP contains 60 contrast transthoracic echocardiography videos from 30 patients, with two videos per patient. The released supervision supports PFO diagnosis, PFO grading, and sparse cardiac-chamber segmentation. Contrast-bubble video analysis is treated as a use of these annotations rather than as a separate native task."
0304,TMED-2,Tufts Medical Echocardiogram Dataset 2,Tufts Medical Echocardiogram Dataset (TMED-2),2021,03,Cardiac,Heart,Aortic stenosis | Cardiac views,B-mode,2D,static,image,patient=577 | study=599 | image=17270 | image=26596,classification,classification,,application,TMED non-commercial research license,A New Semi-Supervised Learning Benchmark for Classifying View and Diagnosing Aortic Stenosis from Echocardiograms,"Machine Learning for Healthcare Conference (MLHC 2021), PMLR",,TMED,https://tmed.cs.tufts.edu/tmed_v2.html,,2,primary,,,verified,2026-09-02,"TMED-2 includes a fully labeled cohort together with additional view-only and unlabeled image sets. Semi-supervised learning is a benchmark paradigm enabled by the resource rather than a native annotation task, so it is not encoded in tasks. The two native supervised label sets are aortic-stenosis severity and cardiac-view classification."
0305,EchoNet-LVH,EchoNet-LVH,,2022,03,Cardiac,Heart,Left ventricle | Interventricular septum | Left-ventricular posterior wall,B-mode,2D,cine,video,video=12000,measurements,measurement,,application,Stanford research-use terms,High-Throughput Precision Phenotyping of Left Ventricular Hypertrophy With Cardiovascular Deep Learning,JAMA Cardiology,10.1001/jamacardio.2021.6059,Stanford AIMI,https://aimi.stanford.edu/datasets/echonet-lvh,10.71718/wtrx-wj56,,primary,,,verified,2026-09-02,"EchoNet-LVH contains 12,000 labeled echocardiography videos. Left-ventricular hypertrophy phenotyping is derived from the released cardiac measurements and calculations, so the native task is represented as measurement rather than as a separate free-text regression or phenotyping task."
0306,CardiacUDA / CardiacUDC,CardiacUDA / CardiacUDC,,2023,03,Cardiac,Heart,Left ventricle | Right ventricle | Pulmonary artery | Cardiac chambers,B-mode,2D,cine,video,video=992 | patient=~100,segmentation,segmentation,,open,Apache 2.0,GraphEcho: Graph-Driven Unsupervised Domain Adaptation for Echocardiogram Video Segmentation,ICCV 2023,10.48550/arXiv.2309.11145,Kaggle,https://www.kaggle.com/datasets/xiaoweixumedicalai/cardiacudc-dataset,,,primary,,,partial,2026-09-02,"The associated paper describes 992 videos across two sites, while the publicly visible Kaggle package currently exposes only the A4C subset. Unsupervised domain adaptation and cross-center generalization are experimental paradigms rather than native dataset tasks; the released supervision itself is cardiac-structure segmentation."
0307,EchoNet-Pediatric,EchoNet-Pediatric,,2023,03,Cardiac,Heart,Pediatric left ventricle,B-mode,2D,cine,video,video=7643,segmentation | measurements,segmentation | measurement,,application,Stanford Research Use Agreement,Video-Based Deep Learning for Automated Assessment of Left Ventricular Ejection Fraction in Pediatric Patients,Journal of the American Society of Echocardiography,10.1016/j.echo.2023.01.015,Stanford EchoNet,https://echonet.github.io/pediatric/,,,primary,,,verified,2026-09-02,"EchoNet-Pediatric contains 7,643 labeled pediatric echocardiography videos. The released supervision consists of expert left-ventricular tracings and cardiac-function measurements. Pediatric cardiac-function assessment is therefore represented by segmentation and measurement rather than a separate free-text task."
0308,CACTUS,CACTUS,,2025,03,Cardiac,Cardiac phantom,Cardiac views | Ultrasound image quality,B-mode,2D,static,image,image=37736,classification | quality,classification | quality_assessment,,open,CC BY 4.0,CACTUS: An Open Dataset and Framework for Automated Cardiac Assessment and Classification of Ultrasound Images Using Deep Transfer Learning,Computers in Biology and Medicine,10.1016/j.compbiomed.2025.110003,FRDR,https://doi.org/10.20383/103.01484,10.20383/103.01484,,primary,,,verified,2026-09-02,"CACTUS contains 37,736 cardiac-phantom ultrasound images with cardiac-view labels and image-quality grades. These are encoded as classification and quality-assessment tasks; the phantom origin is retained explicitly under anatomy."
0309,MIMIC-IV-Echo,MIMIC-IV-Echo,,2026,03,Cardiac,Heart,Cardiac chambers | Systolic function | Diastolic function | Cardiac valves | Aorta and great vessels | Doppler hemodynamics,B-mode | M-mode | Color Doppler | Spectral Doppler,mixed,mixed,mixed,study=206488 | patient=91372 | file=524137 | study=7228 | patient=4572,measurements,measurement,,controlled,PhysioNet credentialed data-use agreement,MIMIC-IV-Echo: Echocardiogram Matched Subset,PhysioNet,10.13026/307c-mr50,PhysioNet,https://physionet.org/content/mimic-iv-echo/1.0.1/,10.13026/307c-mr50,1.0.1,primary,,,verified,2026-09-02,"MIMIC-IV-Echo v1.0.1 contains 206,488 echocardiography studies from 91,372 patients. The DICOM subset contains 524,137 files from 7,228 transthoracic echocardiography studies and 4,572 patients. The resource links echocardiographic imaging and structured measurements to MIMIC-IV. Representation learning, view analysis, and multimodal clinical research are important downstream uses, but the native structured supervision recorded here is measurement metadata."
0401,POCUS Dataset for COVID-19 Detection,A Lung Ultrasound Dataset for COVID-19 Detection,,2020,04,Lung,Lung,Pulmonary pathologies,B-mode,2D,mixed,image | video,patient=216 | video=202 | image=59 | record=261,classification | grading | segmentation,classification | grading | segmentation,,open,"Mixed per-source licenses, including CC BY 4.0, CC BY-NC 4.0, and source-specific terms",Accelerating Detection of Lung Pathologies with Explainable Ultrasound Image Analysis,Applied Sciences,10.3390/app11020672,GitHub,https://github.com/jannisborn/covid19_ultrasound,,,aggregate,,,verified,2026-09-02,"The stable paper release contains 261 recordings from 216 patients: 202 videos and 59 static images. It contains 92 COVID-19, 73 bacterial-pneumonia, 90 healthy, and 6 non-COVID viral-pneumonia recordings assembled from 41 sources. The continuously updated metadata currently lists more source records than the stable paper release, so the structured scale above follows the stable 261-record release. Disease labels and visible lung-ultrasound patterns were reviewed by medical experts. Four-level severity scores were later added for 136 videos. The optional uninformative class is an auxiliary out-of-distribution resource rather than a core diagnostic class. Patient- or video-level splitting is required to prevent frame-level data leakage."
0402,COVIDx-US,COVIDx-US Open-Access Lung Ultrasound Benchmark Dataset,,2021,04,Lung,Lung,Pulmonary infections | Other lung conditions,B-mode,2D,mixed,video | image,video=242 | frame=29651,classification | grading,classification | grading,,open,GNU AGPL 3.0 for repository materials; source media retain source-specific terms,COVIDx-US: An Open-Access Benchmark Dataset of Ultrasound Imaging Data for AI-Driven COVID-19 Analytics,Frontiers in Bioscience (Landmark Edition),10.31083/j.fbl2707198,GitHub,https://github.com/nrc-cnrc/COVID-US,,,aggregate,,,verified,2026-09-02,"The repository reports 242 videos and 29,651 processed frames. The published paper describes a different version snapshot with 173 videos and 21,570 frames from 147 patients, while repository history associates the larger 242-video collection with an earlier benchmark version and later adds LUSS metadata. Repository masks remove embedded text and symbols and are not anatomical segmentation labels, so segmentation is not encoded as a native task. The repository does not host the original videos; scripts retrieve media from multiple external public sources."
0403,LUSS_phantom,Lung Ultrasound COVID Phantom Dataset Used for Training a Machine Learning Model,,2024,04,Lung,Lung phantom,Ribs | Pleural line | A-lines | B-lines | B-line confluence,B-mode,2D,mixed,video | image,image=564,segmentation,segmentation,,open,CC BY 4.0,Deep learning for real-time multi-class segmentation of artefacts in lung ultrasound,Ultrasonics,10.1016/j.ultras.2024.107251,University of Leeds Research Data Repository,https://doi.org/10.5518/1485,10.5518/1485,,primary,,,verified,2026-09-02,The dataset contains 564 manually annotated frames generated from two-second cine loops acquired from a COVID-19 lung-ultrasound training phantom using multiple diagnostic ultrasound systems. Five annotators labelled 100 images each and a senior sonographer labelled another 64 images. B-line artefact quantification is a downstream use derived from the segmentation masks rather than a separate native annotation task. No patient data are included. The separate clinical transfer-learning dataset described in the paper is available only upon request and is outside this public resource.
0404,Lung Ultrasound Images for Automated AI-based Lung Disease Classification,A Dataset of Lung Ultrasound Images for Automated AI-based Lung Disease Classification,,2025,04,Lung,Lung,Pulmonary conditions,B-mode,2D,static,image,patient=149 | image=1062,classification,classification,image: training=723 | validation=198 | test=141,open,CC BY 4.0,A dataset of lung ultrasound images for automated AI-based lung disease classification,Data in Brief,10.1016/j.dib.2025.112034,Mendeley Data,https://data.mendeley.com/datasets/hb3p34ytvx/2,10.17632/hb3p34ytvx.2,2,primary,,,verified,2026-09-02,"The dataset contains 1,062 images from 149 Ugandan patients: 338 images from 27 patients classified as probably COVID-19, 362 images from 67 patients with other lung disease, and 362 images from 55 healthy-lung patients. The patient-level split contains 723 training, 198 validation, and 141 test images. Mendeley version 2 adds the original unprocessed data together with processing, cleaning, and sorting scripts."
0405,POCUS LUS Datasets,POCUS Lung Ultrasound Datasets,,2025,04,Lung,Lung,Pulmonary conditions,B-mode,2D,static,image,patient=8 | image=10,classification,classification,,open,CC BY 4.0 on Figshare; upstream source-specific rights vary,,,,Figshare,https://doi.org/10.6084/m9.figshare.29364743.v1,10.6084/m9.figshare.29364743.v1,1,subset,0401,,verified,2026-09-02,"This resource contains only 10 static images: six COVID-19, three bacterial-pneumonia, and one normal image, associated with eight distinct patient/source IDs. File-level verification showed that all 10 images are byte-identical to same-named files in atlas dataset 0401. It is therefore recorded as an exact subset of 0401 rather than as an independent derivative. The Figshare record itself contains no provenance statement, label table, patient metadata, selection criteria, bounding boxes, or segmentation masks."
0406,PU2756,A Pulmonary Ultrasound Dataset for Tumor Segmentation and Classification,,2026,04,Lung,Lung,Peripheral pulmonary tumor,B-mode,2D,static,image,patient=2756 | image=2756,classification | segmentation,classification | segmentation,,open,CC BY 4.0,A Pulmonary Ultrasound Dataset for Tumor Segmentation and Classification,Scientific Data,10.1038/s41597-026-07715-0,Figshare,https://doi.org/10.6084/m9.figshare.32672274,10.6084/m9.figshare.32672274.v1,1,primary,,,verified,2026-09-02,"PU2756 contains 2,756 B-mode pulmonary-ultrasound images from 2,756 unique patients, with one image per patient: 1,755 malignant and 1,001 benign. Expert annotations include pixel-level pulmonary-tumor masks, while benign/malignant labels are confirmed through biopsy pathology. The public Figshare v1 record provides images.zip, masks.zip, and five_fold_split.xlsx. The five-fold partition is retained in the release metadata but is not encoded as a single train/validation/test split in this atlas entry."
0501,Fatty Liver Ultrasound,Dataset of B-mode Fatty Liver Ultrasound Images,,2018,05,Liver & Gallbladder,Liver,Hepatic steatosis,B-mode,2D,sequence,image,patient=55 | image=550,classification | measurements,classification | measurement,,open,CC BY 4.0,Transfer learning with deep convolutional neural network for liver steatosis assessment in ultrasound images,International Journal of Computer Assisted Radiology and Surgery,10.1007/s11548-018-1843-2,Zenodo,https://zenodo.org/records/1009146,10.5281/zenodo.1009146,,primary,,,verified,2026-09-02,"The dataset contains ten consecutive 434 x 636 B-mode frames from each of 55 severely obese patients. Wedge-biopsy steatosis percentage is provided as the reference standard. Because the continuous biopsy percentage is available, the former free-text ""Regression"" task is represented as a native measurement task rather than as a separate research paradigm."
0502,B-mode-and-CEUS-Liver,Ultrasound Data of a Variety of Liver Masses,,2021,05,Liver & Gallbladder,Liver,Focal liver mass,B-mode | CEUS,2D,mixed,image | sequence,study=120 | series=120 | file=1859,classification,classification,,open,,,,,The Cancer Imaging Archive,https://www.cancerimagingarchive.net/collection/b-mode-and-ceus-liver/,10.7937/TCIA.2021.v4z7-tc39,2,primary,,,verified,2026-09-02,"The complete Version 2 contains 120 studies, 120 series, and 1,859 DICOM instances totaling 272.16 GB. Clinical diagnosis, treatment, and follow-up data are provided. Lesion characterization reference standards include pathology and contrast-enhanced cross-sectional imaging. Treatment-response reference standards are available for many HCC cases, but no single standardized treatment-response label schema is documented here, so treatment-response assessment and temporal analysis are treated as downstream uses rather than separate native tasks. No consistent bounding-box or pixel-wise lesion annotations are released."
0503,Annotated Ultrasound Liver Images,Annotated Ultrasound Liver Images,,2022,05,Liver & Gallbladder,Liver,Liver | Liver mass | Ultrasound scan region,B-mode,2D,static,image,image=735,classification | segmentation,classification | segmentation,,open,CC BY 4.0,Improving artificial intelligence pipeline for liver malignancy diagnosis using ultrasound images and video frames,Briefings in Bioinformatics,10.1093/bib/bbac569,Zenodo,https://zenodo.org/records/7272660,10.5281/zenodo.7272660,,primary,,,verified,2026-09-02,"The public release contains exactly 735 JPG images: 435 malignant, 200 benign, and 100 normal. It is an annotated public subset associated with a larger study of 50,063 images and video frames from 11,468 patients; the full study cohorts are not publicly included here. Detection is a possible downstream use of the polygon annotations, but no independent bounding-box annotation is released, so detection is not encoded as a native task."
0504,GBCU,Gallbladder Cancer Ultrasound Dataset,,2022,05,Liver & Gallbladder,Gallbladder,Gallbladder | Gallbladder pathology | Adjacent liver region,B-mode,2D,static,image,patient=218 | image=1255,classification | detection,classification | detection,,application,Custom GBCU License Agreement,Surpassing the Human Accuracy: Detecting Gallbladder Cancer From USG Images With Curriculum Learning,CVPR 2022,10.1109/CVPR52688.2022.02022,GBCU project website,https://gbc-iitd.github.io/data/gbcu,,,primary,,,verified,2026-09-02,"GBCU contains 1,255 B-mode gallbladder ultrasound images from 218 patients. No pixel-wise segmentation masks are provided; the spatial supervision consists of expert bounding boxes. Access is application-based under the custom GBCU license agreement."
0505,GBUSV,Gallbladder Ultrasound Video Dataset,,2022,05,Liver & Gallbladder,Gallbladder,Gallbladder pathology,B-mode,2D,cine,video,video=64 | frame=15800,classification,classification,,application,Custom GBUSV License Agreement,Unsupervised Contrastive Learning of Image Representations from Ultrasound Videos with Hard Negative Mining,MICCAI 2022,10.1007/978-3-031-16440-8_41,GBUSV project website,https://gbc-iitd.github.io/data/gbusv,,,primary,,,verified,2026-09-02,"The original release contains 64 videos and 15,800 frames. Videos contain 43-888 frames and were resized to 360 x 480 pixels. The current application agreement is labeled GBUSV v2.0, whereas the project page still documents the original 64-video release. Self-supervised representation learning is the research paradigm used in the associated paper rather than a native dataset task, so only video-level classification is encoded under tasks."
0506,liver_ultrasound,liver_ultrasound Computer Vision Project,,2023,05,Liver & Gallbladder,Liver,Hepatic structures | Adjacent abdominal structures,B-mode,2D,static,image,image=400,detection,detection,image: training=220 | validation=120 | test=60,open,CC BY 4.0,,,,Roboflow Universe,https://universe.roboflow.com/joe-klepich/liver_ultrasound,,v11,primary,,,partial,2026-09-02,"Version v11 contains 400 images with a 220/120/60 train/validation/test split. Patient count, acquisition source, annotator details, diagnostic reference standards, and the semantics of several abbreviated detection classes are not documented. Verification is therefore marked partial even though the public project structure and counts are available."
0507,BEHSOF,BEHSOF - Advanced Non-alcoholic Fatty Liver Dataset with Clinical Metadata and Ultrasound Images for Deep Learning Models,,2024,05,Liver & Gallbladder,Liver,Non-alcoholic fatty liver disease,Ultrasound | Elastography,2D,static,image,participant=113 | image=1669,grading | measurements,grading | measurement,,open,CC BY 4.0,,,,Figshare,https://figshare.com/articles/dataset/BEHSOF/26389069,10.6084/m9.figshare.26389069.v4,4,primary,,,verified,2026-09-02,"BEHSOF contains 113 participants: 18 from Taleghani Hospital and 95 from Behbood Clinic. Clinical data include demographics, anthropometric measurements, blood tests, CAP score, elasticity/E score, and FibroScan results. The original free-text tasks ""Regression"" and ""Multimodal Prediction"" are downstream modeling formulations; the native structured supervision is represented here as grading and measurement metadata."
0508,Saudi NAFLD Liver Ultrasound Dataset,Large Annotated Ultrasound Dataset of Non-alcoholic Fatty Liver from Saudi Hospitals for Analysis and Applications,,2024,05,Liver & Gallbladder,Liver,Non-alcoholic fatty liver disease,B-mode | Color Doppler,2D,static,image,patient=384 | image=10352,grading,grading,,application,Custom confidentiality and data-use agreement,Large annotated ultrasound dataset of non-alcoholic fatty liver from Saudi hospitals for analysis and applications,Data in Brief,10.1016/j.dib.2024.111266,Open Science Framework,https://doi.org/10.17605/OSF.IO/C2YG8,10.17605/OSF.IO/C2YG8,,primary,,,partial,2026-09-02,"The dataset contains 10,352 standardized 768 x 1024 PNG images from 384 patients: 8,772 grayscale and 1,580 color images. Full-image labels are based on corresponding liver-biopsy results. No bounding boxes, segmentation masks, patient IDs, examination dates, raw NAS scores, or biopsy reports are released. The OSF files were not directly accessible during verification, so verification remains partial."
0509,SMC-LUD,Samsung Medical Center Liver Ultrasound Dataset,,2026,05,Liver & Gallbladder,Liver,Focal liver lesion,B-mode,2D,static,image,patient=1021 | image=5385,classification,classification,,open,CC BY 4.0 with repository and paper restrictions limiting use to non-commercial research,SMC-LUD: Large-Scale B-Mode Liver Ultrasound Dataset for Hepatocellular Carcinoma and Hemangioma Classification,Scientific Data,10.1038/s41597-026-07023-7,Figshare,https://doi.org/10.6084/m9.figshare.31112716,10.6084/m9.figshare.31112716,3,primary,,,verified,2026-09-02,"SMC-LUD contains 5,385 anonymized images from 1,021 patients: 2,716 HCC images from 600 patients and 2,669 hemangioma images from 421 patients. HCC metadata include tumor size and UICC/AJCC pT stages. Clean and Caliper image subsets are provided; no segmentation masks are reported. Figshare displays CC BY 4.0, while the repository and paper additionally impose a non-commercial research-only restriction, which is recorded explicitly under access."
0601,LUMINOUS,LUMINOUS Database: Lumbar Multifidus Muscle Segmentation from Ultrasound Images,,2020,06,Musculoskeletal,Musculoskeletal,Lumbar multifidus muscle | Left lumbar multifidus at L5 | Right lumbar multifidus at L5,B-mode,2D,static,image,subject=109,segmentation,segmentation,,open,CC BY 4.0,LUMINOUS Database: Lumbar Multifidus Muscle Segmentation from Ultrasound Images,BMC Musculoskeletal Disorders,10.1186/s12891-020-03679-3,Sonography.ai,http://data.sonography.ai/,,,primary,,,verified,2026-09-02,"LUMINOUS contains 109 subject datasets with left- and right-sided lumbar multifidus ultrasound images acquired at L5 in prone and standing positions. Cross-sectional area and echo-intensity quantification can be derived from the images and masks, but the native released supervision is muscle segmentation, so those analyses are not encoded as separate tasks."
0602,deepMTJ test set,deepMTJ Test Set,,2021,06,Musculoskeletal,Musculoskeletal,Lateral gastrocnemius muscle-tendon junction | Medial gastrocnemius muscle-tendon junction,B-mode,2D,static,image,image=1344,localization,localization,,open,CC BY 4.0,A Human-Centered Machine-Learning Approach for Muscle-Tendon Junction Tracking in Ultrasound Images,IEEE Transactions on Biomedical Engineering,10.1109/TBME.2021.313054,Figshare,https://doi.org/10.6084/m9.figshare.16822978.v2,10.6084/m9.figshare.16822978.v2,2,primary,,,verified,2026-09-02,"The public deepMTJ test set contains 1,344 B-mode ultrasound images acquired with three ultrasound systems. Ground truth is defined from four specialist annotations. The associated study evaluates MTJ tracking and cross-device generalization, but the released annotation itself is per-image MTJ localization; tracking and benchmark generalization are therefore not encoded as separate native tasks."
0603,FALLMUD,FALLMUD,,2021,06,Musculoskeletal,Musculoskeletal,Lower-leg muscle | Muscle fascicle | Aponeurosis,B-mode,2D,static,image,image=812,segmentation,segmentation,,open,,AW-Net: Automatic Muscle Structure Analysis on B-Mode Ultrasound Images for Injury Prevention,ACM BCB 2021,,CEA Kalisteo,https://kalisteo.cea.fr/index.php/fallmud/,,,aggregate,,,verified,2026-09-02,FALLMUD contains 812 B-mode ultrasound images and combines two earlier image sets with complementary fascicle and aponeurosis masks. It is therefore recorded as an aggregate resource rather than a new independent acquisition. Muscle-architecture quantification is a downstream use derived from these segmentation masks and is not encoded as a separate native task.
0604,TUS-REC2024,TUS-REC2024: Trackerless Ultrasound Reconstruction Challenge 2024,,2024,06,Musculoskeletal,Musculoskeletal,Forearm | Freehand ultrasound scan geometry,B-mode,mixed,sequence,sequence,participant=85 | scan=2040,registration,pose_estimation | registration | reconstruction,scan: training=1200 [public] | validation=72 [public] | test=768 [withheld],application,Research use only; non-commercial,TUS-REC2024: A Challenge to Reconstruct 3D Freehand Ultrasound Without External Tracker,arXiv,10.48550/arXiv.2506.21765,TUS-REC,https://github-pages.ucl.ac.uk/tus-rec-challenge/TUS-REC2024/,,,primary,,,verified,2026-09-02,"TUS-REC2024 contains 2,040 freehand forearm ultrasound scans from 85 healthy volunteers. The native supervision consists of synchronized per-frame 4x4 spatial transformations. These support relative-pose estimation, spatial registration, and trackerless 3D reconstruction, which are retained as the three native technical tasks."
0605,Machine Learning-Driven Heckmatt Grading in FSHD,Machine Learning-Driven Heckmatt Grading in FSHD,,2025,06,Musculoskeletal,Musculoskeletal,Skeletal muscle | Facioscapulohumeral muscular dystrophy,B-mode,2D,static,image,participant=290 | image=25005,classification | grading | segmentation,classification | grading | segmentation,,open,CC BY 4.0,Machine learning-driven Heckmatt grading in facioscapulohumeral muscular dystrophy: A novel pathway for musculoskeletal ultrasound analysis,Clinical Neurophysiology,10.1016/j.clinph.2025.01.016,Mendeley Data,https://data.mendeley.com/datasets/yzg86vb895/1,10.17632/yzg86vb895.1,1,primary,,,verified,2026-09-02,"The dataset contains 25,005 B-mode ultrasound images from 290 participants, including 180 healthy participants and 110 participants with FSHD. Healthy-versus-FSHD analysis is represented by the participant-level classification labels, while Heckmatt grading and muscle segmentation are encoded separately according to their native annotations."
0606,Transverse Musculoskeletal Ultrasound Dataset for NMD Assessment,Transverse Musculoskeletal Ultrasound Dataset for Neuromuscular Disease Assessment,,2021,06,Musculoskeletal,Musculoskeletal,Biceps brachii | Tibialis anterior | Medial gastrocnemius,B-mode,2D,static,image,subject=1283 | image=3917,segmentation | classification | measurements,segmentation | classification | measurement,,open,CC BY 4.0,Deep Learning Segmentation of Transverse Musculoskeletal Ultrasound Images for Neuromuscular Disease Assessment,Computers in Biology and Medicine,10.1016/j.compbiomed.2021.104623,Mendeley Data,https://data.mendeley.com/datasets/3jykz7wz8d/1,10.17632/3jykz7wz8d.1,1,primary,,,verified,2026-09-02,"The dataset contains 3,917 transverse musculoskeletal ultrasound images from 1,283 subjects. Expert cross-sectional-area masks are the principal spatial annotations. Healthy/abnormal status and grayscale-derived quantitative information are retained as classification and measurement annotations rather than as free-text downstream assessment tasks."
0607,Robotic and Handheld Lumbar Spine Ultrasound,"A Large, Paired Dataset of Robotic and Handheld Lumbar Spine Ultrasound with Ground-truth CT Benchmarking",,2024,06,Musculoskeletal,Spine,Lumbar vertebral bone surface,B-mode | CT,mixed,sweep,mixed,patient=63 | scan=598 | image=6091,segmentation | registration,segmentation | registration | reconstruction,,open,CC BY 4.0,"A large, paired dataset of robotic and handheld lumbar spine ultrasound with ground-truth CT benchmarking",Scientific Data,10.1038/s41597-025-06047-9,KU Leuven RDR,https://doi.org/10.48804/3XPCAE,10.48804/3XPCAE,,primary,,,verified,2026-09-02,"The resource includes 223 handheld and 375 robot-assisted lumbar-spine ultrasound scans. The 6,091 expert-annotated frames comprise 2,353 handheld and 3,738 robot-assisted frames selected from nine volunteers. Paired CT scans, synchronized ultrasound tracking data, and CT-derived 3D vertebral surface models support registration and reconstruction. The former empty classification block has been removed because no native classification labels are described."
0608,AI/ML-ready Knee Ultrasound Dataset,Development of an AI/ML-ready Knee Ultrasound Dataset in a Population-based Cohort,Knee Ultrasound Dataset in a Population-based Cohort | JoCoHS Knee Ultrasound Dataset,2023,06,Musculoskeletal,Knee,Knee joint,B-mode | Power Doppler,2D,static,image,image=7571,,pretraining,,open,,Associations and Diagnostic Accuracy of Ultrasound Features in Knee Osteoarthritis: Cross-Sectional Results From a Large Community-Based Cohort,Arthritis & Rheumatology,10.1002/art.43139,Harvard Dataverse,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/SKP9IB,10.7910/DVN/SKP9IB,5.1,primary,,,partial,2026-09-07,"This dataset is not currently represented elsewhere in the atlas and is suitable for inclusion as a primary musculoskeletal ultrasound resource. It originates from the population-based Johnston County Health Study (JoCoHS) and was created as an AI/ML-ready FAIR resource for research on knee osteoarthritis and related ultrasound phenotypes. Associated publications describe a standardized protocol with seven images per knee. Expert readers scored osteoarthritis-related ultrasound features including effusion/synovitis, Power Doppler signal, osteophytes, cartilage damage, meniscal extrusion, popliteal cysts, and calcium crystal deposition, with disagreements adjudicated by a third reader. However, the publications specifically state that the Harvard Dataverse currently provides all ultrasound images and limited metadata. Because public availability of the final expert feature scores could not be independently confirmed from the currently accessible Dataverse metadata, those scores are not encoded as native public annotations in this atlas entry. The associated 2025 cohort analysis included 861 participants and 1,711 knees with complete imaging data from a 902-participant Johnston County Health Study cohort. These study-cohort counts are not used as the public dataset scale because the Harvard Dataverse is a versioned resource and the publicly summarized resource size is 7,571 ultrasound images. The currently accessible indexed Harvard Dataverse information identifies version 5.1. A dataset-specific reusable license could not be independently confirmed, so access.license is left null. Verification is marked partial because the Dataverse landing page could not be fully inspected from the verification environment."
0701,UK Biobank carotid ultrasound,UK Biobank Carotid Ultrasound Imaging Resource,,,07,Vessel,Carotid artery,Common carotid artery,B-mode,2D,mixed,image | video,participant=unknown | image=unknown,measurements,measurement,,application,UK Biobank access terms,,,,UK Biobank Showcase,https://biobank.ndph.ox.ac.uk/showcase/,,,primary,,,verified,2026-09-03,This entry represents the UK Biobank carotid-ultrasound resource family rather than a single frozen benchmark release. Participant and image counts therefore vary by selected data field and release. The resource supports carotid phenotype and intima-media-thickness analysis through linkage with UK Biobank participant metadata. It is application-controlled rather than an open-download dataset.
0702,CUBS,Carotid Ultrasound Boundary Study,Carotid Ultrasound Boundary Study (CUBS),2021,07,Vessel,Carotid artery,Common carotid artery | Lumen-intima boundary | Media-adventitia boundary,B-mode,2D,static,image,participant=1088 | image=2176,segmentation | measurements,segmentation | measurement,,open,CC BY 4.0,Carotid Ultrasound Boundary Study (CUBS): An Open Multicenter Analysis of Computerized Intima-Media Thickness Measurement Systems and Their Clinical Impact,Ultrasound in Medicine & Biology,10.1016/j.ultrasmedbio.2021.03.003,Mendeley Data,https://data.mendeley.com/datasets/fpv535fss7/1,10.17632/fpv535fss7.1,1,primary,,,verified,2026-09-03,"CUBS contains 2,176 common-carotid-artery B-mode images from 1,088 participants. Its core spatial annotations are paired lumen-intima and media-adventitia boundaries rather than ordinary filled binary masks, so they are represented as surface/boundary segmentation. Carotid intima-media thickness is a native quantitative use of these paired boundaries."
0703,CCA,CCA Carotid Artery Ultrasound Segmentation Dataset Used by MI-SegNet,,2023,07,Vessel,Carotid artery,Carotid artery lumen | Carotid artery region,B-mode,2D,static,image,image=2307,segmentation,segmentation,image: training=2107 | validation=200,open,,MI-SegNet: Mutual Information-Based US Segmentation for Unseen Domain Generalization,MICCAI 2023,10.1007/978-3-031-43901-8_13,GitHub,https://github.com/yuan-12138/MI-SegNet,,,primary,,,verified,2026-09-03,"CCA contains 2,307 B-mode carotid-ultrasound images: 2,107 training images and 200 held-out validation images. Domain generalization across ultrasound devices is the experimental setting of the MI-SegNet study rather than a native dataset task, so only segmentation is encoded under tasks. No standalone data DOI or explicit dataset license was confirmed."
